CalendarName,EventTitle,StartDate,StartTime,EndDate,EndTime,Duration,StartTimeZone
ABOG Detroit,DETROIT 2,4/1/19,7:30 PM,4/1/19,9:30 PM,120,America/Los_Angeles
ABOG Anchorage,Homer Priceless Patrol,4/3/19,7:00 PM,4/3/19,10:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 1,4/4/19,5:30 PM,4/4/19,8:00 PM,150,America/Los_Angeles
ABOG Kansas City,KC North,4/5/19,7:00 PM,4/5/19,10:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 3,4/8/19,7:30 PM,4/8/19,9:30 PM,120,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW,4/9/19,4:00 PM,4/9/19,6:00 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,4/11/19,7:00 PM,4/11/19,10:00 PM,180,America/Los_Angeles
ABOG Arizona,Tucson Team,4/13/19,4:00 PM,4/13/19,8:00 PM,240,America/Los_Angeles
ABOG Portland,Portland Team 8 - Cedar Mill,4/16/19,6:30 PM,4/16/19,9:30 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 6,4/17/19,5:30 PM,4/17/19,8:00 PM,150,America/Los_Angeles
ABOG Detroit,DETROIT 7,4/18/19,5:30 PM,4/18/19,8:00 PM,150,America/Los_Angeles
ABOG Arizona,Phoenix,4/19/19,4:00 PM,4/19/19,8:00 PM,240,America/Los_Angeles
ABOG Kansas City,KC North,4/19/19,7:00 PM,4/19/19,10:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 4,4/24/19,5:30 PM,4/24/19,8:00 PM,150,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW,4/25/19,4:00 PM,4/25/19,6:00 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,4/25/19,7:00 PM,4/25/19,10:00 PM,180,America/Los_Angeles
ABOG Portland,Portland Team 1,4/26/19,6:30 PM,4/26/19,9:30 PM,180,America/Los_Angeles
ABOG Anchorage,Homer Priceless Patrol,5/1/19,7:00 PM,5/1/19,10:00 PM,180,America/Los_Angeles
ABOG Kansas City,KC West 2,5/2/19,5:00 PM,5/2/19,8:00 PM,180,America/Los_Angeles
ABOG Portland,Portland 5 (Lake O.),5/7/19,7:00 PM,5/7/19,9:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 1,5/8/19,5:30 PM,5/8/19,8:30 PM,180,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,5/9/19,7:00 PM,5/9/19,10:00 PM,180,America/Los_Angeles
ABOG Arizona,Tucson,5/11/19,4:00 PM,5/11/19,8:00 PM,240,America/Los_Angeles
ABOG Detroit,DETROIT 3,5/13/19,7:30 PM,5/13/19,9:30 PM,120,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 1,5/14/19,4:00 PM,5/14/19,6:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 6 - Tech Support ,5/15/19,5:30 PM,5/15/19,8:00 PM,150,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 3,5/16/19,4:00 PM,5/16/19,6:00 PM,120,America/Los_Angeles
