index,CalendarName,EventTitle,StartDate,StartTime,EndDate,EndTime,Duration
64,ABOG Detroit,DETROIT 6,2019-04-17,17:30:00,2019-04-17,20:00:00,150
65,ABOG Detroit,DETROIT 7,2019-04-18,17:30:00,2019-04-18,20:00:00,150
66,ABOG Arizona,Phoenix,2019-04-19,16:00:00,2019-04-19,20:00:00,240
67,ABOG Kansas City,KC North,2019-04-19,19:00:00,2019-04-19,22:00:00,180
68,ABOG Detroit,DETROIT 4,2019-04-24,17:30:00,2019-04-24,20:00:00,150
69,ABOG North Texas,North Texas Patrol - FW,2019-04-25,16:00:00,2019-04-25,18:00:00,120
70,ABOG Anchorage,Anchorage Priceless Patrols,2019-04-25,19:00:00,2019-04-25,22:00:00,180
71,ABOG Portland,Portland Team 1,2019-04-26,18:30:00,2019-04-26,21:30:00,180
72,ABOG Anchorage,Homer Priceless Patrol,2019-05-01,19:00:00,2019-05-01,22:00:00,180
73,ABOG Kansas City,KC West 2,2019-05-02,17:00:00,2019-05-02,20:00:00,180
74,ABOG Portland,Portland 5 (Lake O.),2019-05-07,19:00:00,2019-05-07,21:00:00,120
75,ABOG Detroit,DETROIT 1,2019-05-08,17:30:00,2019-05-08,20:30:00,180
76,ABOG Anchorage,Anchorage Priceless Patrols,2019-05-09,19:00:00,2019-05-09,22:00:00,180
77,ABOG Arizona,Tucson,2019-05-11,16:00:00,2019-05-11,20:00:00,240
78,ABOG Detroit,DETROIT 3,2019-05-13,19:30:00,2019-05-13,21:30:00,120
79,ABOG North Texas,North Texas Patrol - FW Team 1,2019-05-14,16:00:00,2019-05-14,18:00:00,120
80,ABOG Detroit,DETROIT 6 - Tech Support ,2019-05-15,17:30:00,2019-05-15,20:00:00,150
81,ABOG North Texas,North Texas Patrol - FW Team 3,2019-05-16,16:00:00,2019-05-16,18:00:00,120
82,ABOG Arizona,Phoenix,2019-05-17,16:00:00,2019-05-17,20:00:00,240
83,ABOG Detroit,DETROIT 2,2019-05-20,19:30:00,2019-05-20,21:30:00,120
84,ABOG Portland,Portland Team 8 - Cedar Mill,2019-05-21,18:30:00,2019-05-21,21:30:00,180
85,ABOG Detroit,DETROIT 4,2019-05-22,19:30:00,2019-05-22,21:30:00,120
86,ABOG Anchorage,Anchorage Priceless Patrols,2019-05-23,19:00:00,2019-05-23,22:00:00,180
87,ABOG Portland,Portland Team 1,2019-05-24,18:30:00,2019-05-24,21:30:00,180
88,ABOG North Texas,North Texas Patrol - FW Team 2,2019-05-28,16:00:00,2019-05-28,18:00:00,120
89,ABOG Portland,EPIK Patrol PDX Team dos,2019-05-29,18:30:00,2019-05-29,21:30:00,180
90,ABOG Kansas City,Kansas City Patrol,2019-05-31,18:00:00,2019-05-31,20:00:00,120
91,ABOG Detroit,DETROIT 3,2019-06-03,19:30:00,2019-06-03,21:30:00,120
92,ABOG Portland,Portland 5 (Lake O.),2019-06-04,19:00:00,2019-06-04,21:00:00,120
93,ABOG Anchorage,Homer Priceless Patrol,2019-06-05,19:00:00,2019-06-05,22:00:00,180
94,ABOG Anchorage,Anchorage Priceless Patrols,2019-06-06,19:00:00,2019-06-06,22:00:00,180
95,ABOG Kansas City,KC North Patrol,2019-06-07,19:00:00,2019-06-07,22:00:00,180
96,ABOG Arizona,Tucson,2019-06-08,16:00:00,2019-06-08,20:00:00,240
97,ABOG North Texas,North Texas Patrol - FW Team 1,2019-06-11,16:00:00,2019-06-11,18:00:00,120
98,ABOG Detroit,DETROIT 1,2019-06-12,17:30:00,2019-06-12,20:00:00,150
99,ABOG Detroit,DETROIT 7 - from home,2019-06-13,19:00:00,2019-06-13,21:00:00,120
100,ABOG Detroit,DETROIT 4,2019-06-17,19:30:00,2019-06-17,21:30:00,120
101,ABOG Detroit,DETROIT 6,2019-06-19,17:30:00,2019-06-19,20:00:00,150
102,ABOG Portland,PDX Team 2,2019-06-19,19:00:00,2019-06-19,22:00:00,180
103,ABOG Anchorage,Anchorage Priceless Patrols,2019-06-20,19:00:00,2019-06-20,22:00:00,180
104,ABOG Kansas City,Kansas City Patrol,2019-06-23,17:00:00,2019-06-23,19:00:00,120
105,ABOG Detroit,DETROIT 2,2019-06-24,19:30:00,2019-06-24,21:30:00,120
106,ABOG North Texas,North Texas Patrol - FW Team 2,2019-06-25,16:00:00,2019-06-25,18:00:00,120
107,ABOG Portland,Portland Team 1,2019-06-26,18:30:00,2019-06-26,21:30:00,180
108,ABOG Arizona,Phoenix,2019-06-28,16:00:00,2019-06-28,20:00:00,240
109,ABOG North Texas,North Texas Patrol - FW Team 1,2019-07-09,16:00:00,2019-07-09,18:00:00,120
110,ABOG Portland,Portland Team 1,2019-07-10,18:30:00,2019-07-10,21:30:00,180
111,ABOG Arizona,Tucson East,2019-07-13,16:00:00,2019-07-13,18:30:00,150
112,ABOG Detroit,DETROIT 1,2019-07-16,16:00:00,2019-07-16,18:00:00,120
113,ABOG Detroit,DETROIT 2,2019-07-16,20:00:00,2019-07-16,22:00:00,120
114,ABOG Anchorage,Anchorage Priceless Patrols,2019-07-18,19:00:00,2019-07-18,22:00:00,180
115,ABOG San Diego,SD Cyber Patrol ,2019-07-18,19:30:00,2019-07-18,22:30:00,180
116,ABOG Detroit,DETROIT 4,2019-07-22,20:00:00,2019-07-22,22:00:00,120
117,ABOG North Texas,North Texas Patrol - FW Team 2,2019-07-23,16:00:00,2019-07-23,18:00:00,120
118,ABOG Detroit,DETROIT 3,2019-07-23,20:00:00,2019-07-23,22:00:00,120
119,ABOG Detroit,DETROIT 6,2019-07-25,16:00:00,2019-07-25,18:00:00,120
120,ABOG Detroit,DETROIT 7,2019-07-30,16:00:00,2019-07-30,18:00:00,120
121,ABOG Portland,PDX Team 2,2019-07-31,19:00:00,2019-07-31,22:00:00,180
122,ABOG Kansas City,Kansas City Patrol ,2019-08-04,18:00:00,2019-08-04,20:00:00,120
123,ABOG Detroit,DETROIT 1,2019-08-06,16:00:00,2019-08-06,18:00:00,120
124,ABOG Detroit,DETROIT 3,2019-08-06,20:00:00,2019-08-06,22:00:00,120
125,ABOG Arizona,Tucson West,2019-08-10,12:00:00,2019-08-10,16:00:00,240
126,ABOG Arizona,Tucson,2019-08-10,16:00:00,2019-08-10,20:00:00,240
127,ABOG Arizona,Tucson East,2019-08-10,16:00:00,2019-08-10,18:30:00,150
128,ABOG Arizona,Tucson East,2019-08-10,17:00:00,2019-08-10,21:00:00,240
129,ABOG North Texas,North Texas Patrol - FW Team 1,2019-08-13,16:00:00,2019-08-13,18:00:00,120
130,ABOG Anchorage,Anchorage Priceless Patrols,2019-08-15,19:00:00,2019-08-15,22:00:00,180
131,ABOG Detroit,DETROIT 6,2019-08-20,16:00:00,2019-08-20,18:00:00,120
132,ABOG Portland,Portland Team 1,2019-08-21,18:30:00,2019-08-21,21:30:00,180
