index,CalendarName,EventTitle,StartDate,StartTime,EndDate,EndTime,Duration
281,ABOG North Texas,Fort Worth Team 2 Patrol,2020-02-25,18:00:00,2020-02-25,20:00:00,120
282,ABOG Bay Area,Bay  Area Patrol,2020-02-25,20:00:00,2020-02-25,22:00:00,120
283,ABOG San Antonio,San Antonio CPAT,2020-02-26,17:00:00,2020-02-26,19:00:00,120
284,ABOG Anchorage,Anchorage Priceless Patrols,2020-02-27,19:00:00,2020-02-27,22:00:00,180
285,ABOG Houston,Houston Cyber Patrol,2020-02-29,13:00:00,2020-02-29,15:00:00,120
286,ABOG Portland,Portland Team 1,2020-03-05,18:30:00,2020-03-05,21:30:00,180
287,ABOG SeattleTacoma,Seattle,2020-03-09,14:00:00,2020-03-09,17:00:00,180
288,ABOG Madison,Madison WI,2020-03-09,17:00:00,2020-03-09,20:00:00,180
289,ABOG Detroit,Detroit 3,2020-03-10,19:30:00,2020-03-10,21:30:00,120
290,ABOG Detroit,Detroit 6,2020-03-11,16:00:00,2020-03-11,18:00:00,120
291,ABOG Detroit,Detroit 1,2020-03-12,16:00:00,2020-03-12,18:00:00,120
292,ABOG Anchorage,Anchorage Priceless Patrols,2020-03-12,19:00:00,2020-03-12,22:00:00,180
293,ABOG Arizona,Tucson West,2020-03-14,12:00:00,2020-03-14,16:00:00,240
294,ABOG Arizona,Tucson East,2020-03-14,16:00:00,2020-03-14,18:30:00,150
295,ABOG Arizona,Tucson East,2020-03-14,17:00:00,2020-03-14,21:00:00,240
296,ABOG Houston,CEASE Georgetown,2020-03-23,16:00:00,2020-03-23,18:00:00,120
297,ABOG Bay Area,Bay Area Patrol,2020-03-24,20:00:00,2020-03-24,22:00:00,120
298,ABOG Houston,San Antonio Cyber Patrol,2020-03-25,17:00:00,2020-03-25,19:00:00,120
299,ABOG Houston,Houston Patrol ,2020-03-28,13:00:00,2020-03-28,15:00:00,120
300,ABOG North Texas,Fort Worth Zoom Outreach,2020-04-07,15:30:00,2020-04-07,17:30:00,120
301,ABOG Portland,Virtual Patrol Pilot #1 - Portland,2020-04-08,13:30:00,2020-04-08,15:00:00,90
302,ABOG Portland,Portland - Virtual Patrol Pilot #2,2020-04-08,19:30:00,2020-04-08,21:00:00,90
303,ABOG Arizona,Tucson East,2020-04-11,16:00:00,2020-04-11,18:30:00,150
304,ABOG Arizona,Tucson Touching Base,2020-04-11,17:00:00,2020-04-11,21:00:00,240
305,ABOG Detroit,Detroit 4,2020-04-14,16:00:00,2020-04-14,18:00:00,120
306,ABOG SeattleTacoma,Seattle Patrol,2020-04-14,18:00:00,2020-04-14,21:00:00,180
307,ABOG Detroit,Detroit 6,2020-04-15,16:00:00,2020-04-15,18:00:00,120
308,ABOG Portland,Portland Team 1,2020-04-16,18:30:00,2020-04-16,21:30:00,180
309,ABOG Arizona,Phoenix Virtual Outreach Patrol,2020-04-17,17:00:00,2020-04-17,19:30:00,150
310,ABOG North Texas,Fort Worth Zoom Patrol,2020-04-21,11:00:00,2020-04-21,13:00:00,120
311,ABOG North Texas,Fort Worth Zoom Patrol,2020-04-21,15:30:00,2020-04-21,17:30:00,120
312,ABOG Portland,Portland Virtual Patrol Team 1,2020-04-21,19:00:00,2020-04-21,21:00:00,120
313,ABOG Bay Area,Bay Area Patrol,2020-04-21,20:00:00,2020-04-21,22:00:00,120
314,ABOG Arizona,IMB's OneReach Phoenix,2020-04-22,09:30:00,2020-04-22,11:00:00,90
315,ABOG Houston,CEASE Georgetown,2020-04-22,16:00:00,2020-04-22,18:00:00,120
316,ABOG Portland,Portland Team 2 Patrol,2020-04-22,19:00:00,2020-04-22,22:00:00,180
317,ABOG Arizona,IMB OneReach Phoenix,2020-04-23,10:00:00,2020-04-23,14:30:00,270
318,ABOG Houston,Houston Cyber Patrol,2020-04-23,16:00:00,2020-04-23,18:00:00,120
319,ABOG Portland,Portland Virtual Patrol ,2020-04-23,19:00:00,2020-04-23,21:00:00,120
320,ABOG Arizona,Phoenix Patrol,2020-04-24,17:00:00,2020-04-24,20:30:00,210
321,ABOG Houston,San Antonio Cyber Patrol,2020-04-29,17:00:00,2020-04-29,19:00:00,120
322,ABOG Arizona,Phoenix Patrol,2020-05-01,17:00:00,2020-05-01,18:30:00,90
323,ABOG North Texas,Fort Worth Online Patrol,2020-05-05,15:30:00,2020-05-05,17:30:00,120
324,ABOG North Texas,Fort Worth Online Patrol,2020-05-07,15:30:00,2020-05-07,17:30:00,120
325,ABOG Portland,Portland Team 1,2020-05-07,18:30:00,2020-05-07,21:30:00,180
326,ABOG Arizona,Phoenix Patrol,2020-05-08,17:00:00,2020-05-08,20:30:00,210
327,ABOG Arizona,Tucson West,2020-05-09,12:00:00,2020-05-09,16:00:00,240
328,ABOG Arizona,Tucson East,2020-05-09,16:00:00,2020-05-09,18:30:00,150
329,ABOG Arizona,Tucson East,2020-05-09,17:00:00,2020-05-09,21:00:00,240
330,ABOG Arizona,Sedona Patrol,2020-05-11,12:00:00,2020-05-11,15:00:00,180
331,ABOG Madison,Madison WI,2020-05-11,16:00:00,2020-05-11,19:00:00,180
332,ABOG Portland,Portland Patrol,2020-05-12,19:00:00,2020-05-12,21:00:00,120
333,ABOG Madison,Madison WI,2020-05-14,11:00:00,2020-05-14,13:00:00,120
334,ABOG Detroit,Detroit 4,2020-05-14,19:30:00,2020-05-14,21:30:00,120
335,ABOG Arizona,Phoenix Patrol,2020-05-15,17:00:00,2020-05-15,18:30:00,90
336,ABOG Bay Area,Bay Area Patrol,2020-05-19,20:00:00,2020-05-19,22:00:00,120
337,ABOG Detroit,Detroit 7,2020-05-21,16:00:00,2020-05-21,18:00:00,120
338,ABOG Detroit,Detroit 1,2020-05-26,16:00:00,2020-05-26,18:00:00,120
339,ABOG Portland,PDX Team 2,2020-05-27,19:00:00,2020-05-27,21:00:00,120
340,ABOG Portland,Portland Team 1,2020-05-28,18:30:00,2020-05-28,21:30:00,180
341,ABOG Arizona,Phoenix Patrol,2020-05-29,17:00:00,2020-05-29,20:00:00,180
342,ABOG Detroit,Detroit 6,2020-05-29,20:00:00,2020-05-29,22:00:00,120
343,ABOG Portland,Portland Team HodgePodge ,2020-06-03,19:00:00,2020-06-03,21:00:00,120
344,ABOG Portland,Portland Team 1,2020-06-04,18:30:00,2020-06-04,21:30:00,180
345,ABOG Arizona,Phoenix Patrol,2020-06-05,17:00:00,2020-06-05,20:00:00,180
346,ABOG Madison,Madison WI,2020-06-11,11:00:00,2020-06-11,13:00:00,120
347,ABOG Arizona,Tucson East,2020-06-13,16:00:00,2020-06-13,18:30:00,150
348,ABOG North Texas,Fort Worth In Person Patrol,2020-06-16,16:00:00,2020-06-16,18:00:00,120
349,ABOG Bay Area,Bay Area Patrol,2020-06-16,20:00:00,2020-06-16,22:00:00,120
350,ABOG Detroit,Detroit 1,2020-06-18,16:00:00,2020-06-18,18:00:00,120
351,ABOG Kansas City,Kansas City,2020-06-18,19:00:00,2020-06-18,21:00:00,120
352,ABOG Arizona,Phoenix,2020-06-19,17:00:00,2020-06-19,20:00:00,180
353,ABOG Arizona,Sedona Zoom Meeting,2020-06-22,12:00:00,2020-06-22,13:00:00,60
354,ABOG Houston,Georgetown Patrol,2020-06-22,16:00:00,2020-06-22,18:00:00,120
355,ABOG Houston,Virtual (TX) Cyber Patrol,2020-06-25,17:00:00,2020-06-25,19:00:00,120
356,ABOG Kansas City,Kansas City North,2020-06-26,19:00:00,2020-06-26,22:00:00,180
357,ABOG SeattleTacoma,Seattle EPIK Patrol,2020-06-29,19:00:00,2020-06-29,21:00:00,120
358,ABOG Portland,PDX Team 2,2020-06-30,19:00:00,2020-06-30,21:00:00,120
359,ABOG Madison,Madison WI,2020-07-09,11:00:00,2020-07-09,13:00:00,120
360,ABOG Arizona,Tucson East,2020-07-11,16:00:00,2020-07-11,18:30:00,150
361,ABOG Madison,Madison WI,2020-07-13,16:00:00,2020-07-13,19:00:00,180
362,ABOG Bay Area,Bay Area Patrol,2020-07-14,20:00:00,2020-07-14,22:00:00,120
363,ABOG Arizona,Phoenix,2020-07-17,17:00:00,2020-07-17,20:00:00,180
364,ABOG Kansas City,Kansas City North,2020-07-17,19:00:00,2020-07-17,22:00:00,180
365,ABOG Portland,PDX Team 2 - Virtual Patrol,2020-07-30,19:00:00,2020-07-30,21:00:00,120
366,ABOG Arizona,Tucson East,2020-08-08,16:00:00,2020-08-08,18:30:00,150
367,ABOG Madison,Madison WI,2020-08-10,16:00:00,2020-08-10,19:00:00,180
368,ABOG Houston,Virtual Cyber Patrol ,2020-08-10,16:00:00,2020-08-10,18:00:00,120
369,ABOG Houston,Hold Cyber Patrol,2020-08-11,16:00:00,2020-08-11,18:00:00,120
370,ABOG Bay Area,Bay Area Patrol,2020-08-11,20:00:00,2020-08-11,22:00:00,120
371,ABOG Portland,Portland - Team 3 Patrol ,2020-08-12,19:30:00,2020-08-12,21:30:00,120
372,ABOG Madison,Madison WI,2020-08-13,11:00:00,2020-08-13,13:00:00,120
373,ABOG North Texas,Fort Worth Patrol,2020-08-19,16:15:00,2020-08-19,18:15:00,120
374,ABOG Houston,CEASE Georgetown,2020-08-20,16:00:00,2020-08-20,18:00:00,120
375,ABOG Kansas City,Kansas City North,2020-08-21,19:00:00,2020-08-21,22:00:00,180
376,ABOG North Texas,Fort Worth Patrol,2020-08-25,16:15:00,2020-08-25,18:15:00,120
377,ABOG Kansas City,Kansas City Patrol,2020-09-01,20:00:00,2020-09-01,22:00:00,120
378,ABOG Bay Area,Bay Area Patrol,2020-09-08,20:00:00,2020-09-08,22:00:00,120
379,ABOG San Antonio,Virtual Patrol - Houston & San Antonio,2020-09-09,15:00:00,2020-09-09,17:00:00,120
380,ABOG Madison,Madison WI,2020-09-10,11:00:00,2020-09-10,13:00:00,120
381,ABOG Detroit,DETROIT 1,2020-09-10,16:15:00,2020-09-10,18:15:00,120
382,ABOG Arizona,Tucson East,2020-09-12,16:00:00,2020-09-12,18:30:00,150
383,ABOG Madison,Madison WI,2020-09-14,16:00:00,2020-09-14,19:00:00,180
384,ABOG Portland,Portland - Team 3 Patrol ,2020-09-15,19:00:00,2020-09-15,21:00:00,120
385,ABOG Detroit,DETROIT 3,2020-09-17,18:00:00,2020-09-17,19:30:00,90
386,ABOG Arizona,Phoenix,2020-09-18,17:00:00,2020-09-18,20:00:00,180
387,ABOG Kansas City,Kansas City North,2020-09-18,19:00:00,2020-09-18,22:00:00,180
388,ABOG Detroit,DETROIT 5,2020-09-22,16:15:00,2020-09-22,18:15:00,120
389,ABOG Detroit,DETROIT 6,2020-09-24,19:00:00,2020-09-24,20:00:00,60
390,ABOG Portland,Portland Team 1,2020-09-25,18:30:00,2020-09-25,21:30:00,180
391,ABOG SeattleTacoma,Seattle-Tacoma,2020-09-25,19:00:00,2020-09-25,20:00:00,60
392,ABOG Houston,Cease Georgetown,2020-09-28,16:00:00,2020-09-28,18:00:00,120
393,ABOG Detroit,DETROIT 7,2020-09-28,19:00:00,2020-09-28,20:00:00,60
394,ABOG North Texas,Fort Worth Patrol,2020-09-29,16:00:00,2020-09-29,18:00:00,120
395,ABOG Detroit,DETROIT 2,2020-09-29,18:30:00,2020-09-29,19:30:00,60
396,ABOG Bay Area,Bay Area Patrol,2020-10-06,20:00:00,2020-10-06,22:00:00,120
397,ABOG Madison,Madison WI,2020-10-08,11:00:00,2020-10-08,13:00:00,120
398,ABOG Arizona,Tucson West,2020-10-10,12:00:00,2020-10-10,16:00:00,240
399,ABOG Arizona,Tucson East,2020-10-10,16:00:00,2020-10-10,18:30:00,150
400,ABOG Arizona,Tucson East,2020-10-10,17:00:00,2020-10-10,21:00:00,240
401,ABOG Madison,Madison WI,2020-10-12,16:00:00,2020-10-12,19:00:00,180
402,ABOG Portland,Portland Team 3 Patrol,2020-10-13,18:30:00,2020-10-13,21:00:00,150
403,ABOG San Antonio,TX Patrol - Virtual,2020-10-14,15:00:00,2020-10-14,17:00:00,120
404,ABOG Portland,PDX Team 2 - Virtual,2020-10-14,19:00:00,2020-10-14,21:00:00,120
405,ABOG North Texas,Fort Worth Patrol,2020-10-15,16:00:00,2020-10-15,18:00:00,120
406,ABOG Arizona,Phoenix,2020-10-16,17:00:00,2020-10-16,20:00:00,180
407,ABOG North Texas,Fort Worth Patrol,2020-10-20,16:00:00,2020-10-20,18:00:00,120
408,ABOG North Texas,Fort Worth Patrol,2020-10-21,11:30:00,2020-10-21,13:00:00,90
409,ABOG Kansas City,Kansas City North,2020-10-23,19:00:00,2020-10-23,22:00:00,180
410,ABOG San Antonio,Dallas Patrol,2020-10-24,13:00:00,2020-10-24,15:00:00,120
411,ABOG North Texas,Fort Worth Patrol,2020-10-27,16:00:00,2020-10-27,18:00:00,120
412,ABOG Houston,Georgetown Patrol,2020-10-28,16:00:00,2020-10-28,18:00:00,120
413,ABOG Detroit,DETROIT 4,2020-10-28,18:30:00,2020-10-28,20:00:00,90
414,ABOG Portland,Portland Team 1,2020-10-29,18:30:00,2020-10-29,21:30:00,180
415,ABOG Bay Area,Bay Area Patrol,2020-11-03,20:00:00,2020-11-03,22:00:00,120
416,ABOG Detroit,DETROIT 4,2020-11-05,20:00:00,2020-11-05,21:00:00,60
417,ABOG Madison,Madison WI,2020-11-09,16:00:00,2020-11-09,19:00:00,180
418,ABOG Portland,Portland Patrol - Team 3,2020-11-11,19:00:00,2020-11-11,21:00:00,120
419,ABOG Madison,Madison WI,2020-11-12,11:00:00,2020-11-12,13:00:00,120
420,ABOG Arizona,Phoenix,2020-11-13,16:00:00,2020-11-13,19:00:00,180
421,ABOG Arizona,Tucson West,2020-11-14,11:00:00,2020-11-14,15:00:00,240
422,ABOG Arizona,Tucson East,2020-11-14,16:00:00,2020-11-14,20:00:00,240
423,ABOG Arizona,Tucson East,2020-11-14,16:00:00,2020-11-14,18:30:00,150
424,ABOG Arizona,Sedona,2020-11-16,11:00:00,2020-11-16,13:00:00,120
425,ABOG North Texas,Fort Worth Patrol,2020-11-17,16:00:00,2020-11-17,18:00:00,120
426,ABOG North Texas,Fort Worth Patrol,2020-11-19,16:00:00,2020-11-19,18:00:00,120
427,ABOG Portland,Portland Team 1,2020-11-19,18:30:00,2020-11-19,21:30:00,180
428,ABOG San Antonio,Georgetown Patrol,2020-11-22,14:00:00,2020-11-22,16:00:00,120
429,ABOG Kansas City,Kansas City (Olathe) Patrol,2020-11-24,18:00:00,2020-11-24,20:00:00,120
430,ABOG Kansas City,Kansas City North,2020-11-27,19:00:00,2020-11-27,22:00:00,180
431,ABOG San Antonio,Texas Virtual Patrol - SA/HOU,2020-11-30,15:00:00,2020-11-30,17:00:00,120
432,ABOG Bay Area,Bay Area Patrol,2020-12-01,20:00:00,2020-12-01,22:00:00,120
433,ABOG Portland,Portland Team 3 Patrol,2020-12-02,19:00:00,2020-12-02,21:00:00,120
434,ABOG SeattleTacoma,Seattle/Tacoma Patrol,2020-12-07,19:00:00,2020-12-07,21:00:00,120
435,ABOG Detroit,DETROIT 3,2020-12-09,13:30:00,2020-12-09,15:00:00,90
436,ABOG Madison,Madison WI,2020-12-10,11:00:00,2020-12-10,13:00:00,120
437,ABOG San Antonio,Georgetown Patrol,2020-12-10,16:00:00,2020-12-10,18:00:00,120
438,ABOG Detroit,DETROIT 4,2020-12-10,20:00:00,2020-12-10,21:00:00,60
439,ABOG Arizona,Tucson Patrol,2020-12-12,16:00:00,2020-12-12,18:30:00,150
440,ABOG Madison,Madison WI,2020-12-14,16:00:00,2020-12-14,19:00:00,180
441,ABOG San Antonio,Texas Virtual Patrol ,2020-12-15,15:00:00,2020-12-15,17:00:00,120
442,ABOG San Antonio,Corpus Christi Patrol,2020-12-17,16:00:00,2020-12-17,19:15:00,195
443,ABOG Portland,Portland Team 1 Patrol,2020-12-17,18:30:00,2020-12-17,21:30:00,180
444,ABOG Arizona,Phoenix,2020-12-18,16:00:00,2020-12-18,18:00:00,120
445,ABOG Kansas City,Kansas City North,2020-12-18,19:00:00,2020-12-18,22:00:00,180
446,ABOG Portland,Portland Team 3 Patrol,2021-01-05,19:00:00,2021-01-05,21:00:00,120
447,ABOG Arizona,Tucson Patrol,2021-01-09,16:00:00,2021-01-09,18:30:00,150
448,ABOG Madison,Madison WI,2021-01-11,16:00:00,2021-01-11,19:00:00,180
449,ABOG San Antonio,Georgetown Patrol,2021-01-13,16:00:00,2021-01-13,18:00:00,120
450,ABOG Madison,Madison WI,2021-01-14,11:00:00,2021-01-14,13:00:00,120
451,ABOG Portland,Portland Team 1 Callbacks,2021-01-14,18:30:00,2021-01-14,19:30:00,60
452,ABOG Arizona,Phoenix Patrol,2021-01-15,16:00:00,2021-01-15,18:00:00,120
453,ABOG Arizona,Sedona Patrol,2021-01-18,16:00:00,2021-01-18,18:00:00,120
454,ABOG Kansas City,KC North,2021-01-19,19:00:00,2021-01-19,22:00:00,180
455,ABOG Houston,Virtual Cyber Patrol ,2021-01-20,16:00:00,2021-01-20,18:00:00,120
456,ABOG Portland,Portland Team 1 Patrol,2021-01-21,18:30:00,2021-01-21,21:30:00,180
457,ABOG Arizona,Phoenix Patrol,2021-01-22,16:00:00,2021-01-22,18:00:00,120
458,ABOG Kansas City,KC North,2021-01-22,19:00:00,2021-01-22,22:00:00,180
459,ABOG North Texas,Fort Worth Cyber Patrol,2021-01-25,15:30:00,2021-01-25,17:30:00,120
