,ConversationId,ConversationInitiated,ConversationDate,ConversationEndedBy,Id,Initiated,Event,Text,ParticipantId,ParticipantRole,QueueDuration,Duration,Abandoned,VisitorWait,AnyText
114573,5de9d51e4b553924b4d6b48a,1575605534514,2019-12-06 04:12:14,SYSTEM,5de9d9af4b553924b4d6f70a,2019-12-06 04:31:43,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,128033.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
114575,5de9d51e4b553924b4d6b48a,1575605534514,2019-12-06 04:12:14,SYSTEM,5de9da8b4b553924b4d702e8,2019-12-06 04:35:23,,Are you aware that buying sex is illegal?\n\n,DQVCTWMS5aaaaN,Agent,,17669.0,True,,Are you aware that buying sex is illegal?\n\n
114716,5de9dd8a4b553924b4d736d9,1575607690546,2019-12-06 04:48:10,SYSTEM,5de9e7de4b553924b4d827f9,2019-12-06 05:32:14,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,43203106.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
114763,5de9dde24b553924b4d73d6f,1575607778820,2019-12-06 04:49:38,SYSTEM,5de9e4534b553924b4d7cb9a,2019-12-06 05:17:07,,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.,FGV8TqMa5aama!,Agent,,5033.0,True,,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.
114764,5de9dde24b553924b4d73d6f,1575607778820,2019-12-06 04:49:38,SYSTEM,5de9e4584b553924b4d7cc9a,2019-12-06 05:17:12,,\nAre you aware that many of the girls who get involved in prostitution are minors?\n,FGV8TqMa5aama!,Agent,,85414.0,True,,\nAre you aware that many of the girls who get involved in prostitution are minors?\n
114887,5de9df614b553924b4d76093,1575608161220,2019-12-06 04:56:01,SYSTEM,5de9e4a34b553924b4d7d5ac,2019-12-06 05:18:27,,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.,FGV8TqMa5aama!,Agent,,4456.0,True,,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.
114888,5de9df614b553924b4d76093,1575608161220,2019-12-06 04:56:01,SYSTEM,5de9e4a74b553924b4d7d5ad,2019-12-06 05:18:31,,Are you aware that many of the girls who get involved in prostitution are minors?,FGV8TqMa5aama!,Agent,,43202735.0,True,,Are you aware that many of the girls who get involved in prostitution are minors?
115014,5de9e2dd4b553924b4d7a65d,1575609053900,2019-12-06 05:10:53,SYSTEM,5de9e8034b553924b4d82b19,2019-12-06 05:32:51,,"Did you read my text? Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,9079.0,True,,"Did you read my text? Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115037,5de9e3f44b553924b4d7c280,1575609332298,2019-12-06 05:15:32,SYSTEM,5de9e6e34b553924b4d80f0a,2019-12-06 05:28:03,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,43207492.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115058,5de9e4584b553924b4d7cc9b,1575609432826,2019-12-06 05:17:12,SYSTEM,5de9e88a4b553924b4d838ac,2019-12-06 05:35:06,,May I text you information on where to get anonymous help?,EKVnTGMw5aagaU,Agent,,70466.0,True,,May I text you information on where to get anonymous help?
115335,5dec05bc4b553924b4e604f8,1575749052039,2019-12-07 20:04:12,SYSTEM,5dec171b4b553924b4e69b58,2019-12-07 21:18:19,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",EKVnTGMw5aagaU,Agent,,129630.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115351,5dec19894b553924b4e6bb8d,1575754121763,2019-12-07 21:28:41,SYSTEM,5dec1d3c4b553924b4e6e411,2019-12-07 21:44:28,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",EKVnTGMw5aagaU,Agent,,1027312.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115411,5dec28764b553924b4e7372a,1575757942337,2019-12-07 22:32:22,SYSTEM,5dec29534b553924b4e73fbd,2019-12-07 22:36:03,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",EKVnTGMw5aagaU,Agent,,185525.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115703,5dee9a194b553924b4f1e982,1575918105019,2019-12-09 19:01:45,SYSTEM,5deea2614b553924b4f2a089,2019-12-09 19:37:05,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,27767.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115825,5deef525fd041529780a3cb3,1575941413997,2019-12-10 01:30:13,SYSTEM,5deef83cfd041529780a452d,2019-12-10 01:43:24,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,43203373.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115842,5deef6d2fd041529780a411d,1575941842878,2019-12-10 01:37:22,SYSTEM,5deef873fd041529780a45cd,2019-12-10 01:44:19,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,43200172.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115855,5deefc10fd041529780a4f37,1575943184323,2019-12-10 01:59:44,SYSTEM,5def006afd041529780a593f,2019-12-10 02:18:18,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,43211230.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115895,5def032efd041529780a5f12,1575945006348,2019-12-10 02:30:06,SYSTEM,5def06c3fd041529780a68b9,2019-12-10 02:45:23,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",EKVnTGMw5aagaU,Agent,,18465.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115936,5def1fc7fd041529780a95b5,1575952327244,2019-12-10 04:32:07,SYSTEM,5def2238fd041529780a9db7,2019-12-10 04:42:32,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",EKVnTGMw5aagaU,Agent,,43212378.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115955,5def2175fd041529780a9af4,1575952757593,2019-12-10 04:39:17,SYSTEM,5def263efd041529780aa7ed,2019-12-10 04:59:42,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",EKVnTGMw5aagaU,Agent,,30562.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115980,5def2429fd041529780aa419,1575953449407,2019-12-10 04:50:49,SYSTEM,5def2c8efd041529780ac133,2019-12-10 05:26:38,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",EKVnTGMw5aagaU,Agent,,138840.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
116037,5def2606fd041529780aa704,1575953926555,2019-12-10 04:58:46,SYSTEM,5def2cd0fd041529780ac394,2019-12-10 05:27:44,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",EKVnTGMw5aagaU,Agent,,180124.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
